name,wealth,industry,state,lat,lon
Gina Rinehart,29.3,Metals & Mining,Western Australia,-25.0,115.0
Harry Triguboff,19.1,Real Estate,New South Wales,-33.8688,151.2093
Mike Cannon-Brookes,14.9,Technology,New South Wales,-33.88,151.22
Scott Farquhar,14.6,Technology,New South Wales,-33.86,151.21
Andrew Forrest,14.4,Metals & Mining,Western Australia,-31.9505,115.8605
Anthony Pratt,8.2,Manufacturing,Victoria,-37.8136,144.9631
Frank Lowy,7.9,Finance & Investments,New South Wales,-33.89,151.19
Kerry Stokes,7.7,Diversified,Western Australia,-31.96,115.87
Richard White,7.5,Technology,New South Wales,-33.87,151.23
Melanie Perkins,5.8,Technology,New South Wales,-33.85,151.24
Cliff Obrecht,5.8,Technology,New South Wales,-33.87,151.21
Mario Verrocchi,5.1,Fashion & Retail,New South Wales,-33.87,151.21
Vivek Chaand Sehgal,5.0,Automotive,New South Wales,-33.87,151.21
Sam Hupert,4.2,Technology,New South Wales,-33.87,151.21
Anthony Hall,4.2,Technology,New South Wales,-33.87,151.21
John Gandel,3.7,Real Estate,Victoria,-37.81,144.96
Clive Palmer,3.4,Metals & Mining,New South Wales,-33.87,151.21
James Packer,3.3,Finance & Investments,New South Wales,-33.875,151.205
Jack Cowin,3.3,Food & Beverage,New South Wales,-33.87,151.21
Jack Gance,3.1,Healthcare,New South Wales,-33.87,151.21
