country,billionaire_count,total_worth_bn,gdp_bn,highlight
Argentina,4,11000,449.7,Other
Australia,43,173500,1392.7,Australia
Austria,11,75400,446.3,Other
Belgium,3,41200,529.6,Other
Brazil,44,104800,1839.8,Other
Canada,42,173900,1736.4,Other
Chile,6,36400,282.3,Other
China,523,1805500,19910.0,China
Cyprus,5,9600,24.6,Other
Czech Republic,7,42800,246.5,Other
Denmark,7,40900,348.1,Other
Egypt,4,13500,303.2,Other
Finland,7,14000,268.8,Other
France,35,499500,2715.5,Other
Germany,102,462100,3845.6,Germany
Greece,3,9100,209.9,Other
Hungary,3,3900,161.0,Other
India,157,628700,2611.0,India
Indonesia,25,123900,1119.2,Other
Israel,26,72500,395.1,Other
Italy,55,156900,2001.2,Other
Japan,38,146800,5081.8,Other
Kazakhstan,7,26300,180.2,Other
Malaysia,11,33100,364.7,Malaysia
Mexico,13,165700,1258.3,Other
Monaco,17,68000,7.2,Other
Netherlands,10,24700,909.1,Other
Nigeria,3,28500,448.1,Other
Norway,9,27100,403.3,Other
Philippines,14,41400,376.8,Other
Poland,5,18300,592.2,Other
Romania,3,4800,250.1,Other
Russia,79,351000,1699.9,Other
Singapore,46,138000,372.1,Singapore
South Africa,5,25600,351.4,Other
South Korea,29,81400,2029.0,Other
Spain,25,133700,1394.1,Other
Sweden,26,90900,530.8,Other
Switzerland,78,409900,703.1,Other
Thailand,28,100700,543.6,Other
Turkey,25,55700,754.4,Other
Ukraine,6,12600,153.8,Other
United Arab Emirates,17,99400,421.1,Other
United Kingdom,82,370700,2827.1,United Kingdom
United States,754,4575100,21427.7,United States
Vietnam,6,12600,261.9,Other
