country,billionaire_count,per_million,tax_rate,education,life_expectancy,gdp_per_capita
Malaysia,11,0.339,38.7,45.1,76.0,11240.0
Australia,43,1.669,47.4,113.1,82.7,54050.0
Singapore,46,8.065,21.0,84.8,83.1,65233.0
United States,754,2.297,36.6,88.2,78.5,65281.0
China,523,0.374,59.2,50.6,77.0,14245.0
Germany,102,1.227,48.8,70.2,80.9,46259.0
United Kingdom,82,1.227,30.6,60.0,81.3,42300.0
India,157,0.115,49.7,28.1,69.4,1911.0
France,35,0.522,60.7,65.6,82.5,40494.0
Japan,38,0.301,46.7,63.2,84.2,40259.0
