industry,count,country
Metals & Mining,10,Australia
Technology,8,Australia
Fashion & Retail,7,Australia
Real Estate,6,Australia
Finance & Investments,5,Australia
Manufacturing,3,Australia
Healthcare,2,Australia
Diversified,1,Australia
Automotive,1,Australia
Food & Beverage,1,Australia
Logistics,1,Australia
Gambling & Casinos,1,Australia
Telecom,1,Australia
Finance & Investments,5,Malaysia
Diversified,3,Malaysia
Real Estate,3,Malaysia
Manufacturing,2,Malaysia
Food & Beverage,1,Malaysia
Construction & Engineering,1,Malaysia
Gambling & Casinos,1,Malaysia
Metals & Mining,1,Malaysia
Energy,1,Malaysia
Fashion & Retail,1,Malaysia
