name,wealth,industry,city,lat,lon
Robert Kuok,12.1,Diversified,Kuala Lumpur,3.139,101.6869
Quek Leng Chan,9.9,Diversified,Kuala Lumpur,3.159,101.7069
Koon Poh Keong,4.2,Manufacturing,Penang,5.4141,100.3288
Lee Thiam Wah,3.7,Food & Beverage,Johor,1.4854,103.7618
Jeffrey Cheah,3.5,Real Estate,Kuala Lumpur,3.12,101.66
Lee Yeow Chor,3.1,Real Estate,Kuala Lumpur,3.149,101.71
Lee Yeow Seng,2.3,Real Estate,Kuala Lumpur,3.155,101.72
Syed Mokhtar AlBukhary,2.2,Construction & Engineering,Kuala Lumpur,3.13,101.67
Lim Kok Thay,1.8,Gambling & Casinos,Kuala Lumpur,3.145,101.695
Kie Chie Wong,1.7,Metals & Mining,Kuala Lumpur,3.135,101.68
William Teh Lee Pang,1.6,Finance & Investments,Selangor,3.08,101.525
Lillyn Teh Li Hua,1.6,Finance & Investments,Kuala Lumpur,3.16,101.715
Lillian Teh Li Ming,1.6,Finance & Investments,Kuala Lumpur,3.165,101.705
Diona Teh Li Shian,1.6,Finance & Investments,Selangor,3.0738,101.5183
Lim Chai Hock,1.4,Energy,Kuala Lumpur,3.2800000000000002,101.83
Lau Cho Kun,1.4,Diversified,Kuala Lumpur,3.29,101.84
Tan Yu Yeh,1.3,Fashion & Retail,Kuala Lumpur,3.3000000000000003,101.85
Cheah Cheng Hye,1.2,Finance & Investments,Kuala Lumpur,3.31,101.86
Lim Wee Chai,1.1,Manufacturing,Selangor,3.09,101.54
