country,billionaire_count,total_wealth,gdp,lat,lon
Algeria,1,4600,"$169,988,236,398 ",28.03,1.66
Andorra,1,1500,"$3,154,057,987 ",42.51,1.52
Argentina,4,11000,"$449,663,446,954 ",-38.42,-63.62
Armenia,1,1200,"$13,672,802,158 ",40.07,45.04
Australia,43,173500,"$1,392,680,589,329 ",-25.27,133.78
Austria,11,75400,"$446,314,739,528 ",47.52,14.55
Bahrain,1,1500,"$38,574,069,149 ",26.07,50.56
Belgium,3,41200,"$529,606,710,418 ",50.5,4.47
Brazil,44,104800,"$1,839,758,040,766 ",-14.24,-51.93
Cambodia,1,2800,"$27,089,389,787 ",12.57,104.99
Canada,42,173900,"$1,736,425,629,520 ",56.13,-106.35
Chile,6,36400,"$282,318,159,745 ",-35.68,-71.54
China,523,1805500,"$19,910,000,000,000 ",35.86,104.2
Colombia,1,6400,"$323,802,808,108 ",4.57,-74.3
Cyprus,5,9600,"$24,564,647,935 ",35.13,33.43
Czech Republic,7,42800,"$246,489,245,495 ",49.82,15.47
Denmark,7,40900,"$348,078,018,464 ",56.26,9.5
Egypt,4,13500,"$303,175,127,598 ",26.82,30.8
Finland,7,14000,"$268,761,201,365 ",61.92,25.75
France,35,499500,"$2,715,518,274,227 ",46.23,2.21
Georgia,1,4900,"$17,743,195,770 ",42.32,43.36
Germany,102,462100,"$3,845,630,030,824 ",51.17,10.45
Greece,3,9100,"$209,852,761,469 ",39.07,21.82
Hungary,3,3900,"$160,967,157,504 ",47.16,19.5
India,157,628700,"$2,611,000,000,000 ",20.59,78.96
Indonesia,25,123900,"$1,119,190,780,753 ",-0.79,113.92
Israel,26,72500,"$395,098,666,122 ",31.05,34.85
Italy,55,156900,"$2,001,244,392,042 ",41.87,12.57
Japan,38,146800,"$5,081,769,542,380 ",36.2,138.25
Kazakhstan,7,26300,"$180,161,741,180 ",48.02,66.92
Latvia,1,4200,"$34,117,202,555 ",56.88,24.6
Lebanon,2,5600,"$53,367,042,272 ",33.85,35.86
Liechtenstein,1,2300,"$6,552,858,739 ",47.14,9.52
Luxembourg,1,3500,"$71,104,919,108 ",49.82,6.13
Malaysia,11,33100,"$364,701,517,788 ",4.21,101.98
Mexico,13,165700,"$1,258,286,717,125 ",23.63,-102.55
Monaco,17,68000,"$7,184,844,193 ",43.74,7.42
Morocco,2,2800,"$118,725,279,596 ",31.79,-7.09
Nepal,1,1800,"$30,641,380,604 ",28.39,84.12
Netherlands,10,24700,"$909,070,395,161 ",52.13,5.29
New Zealand,2,10100,"$206,928,765,544 ",-40.9,174.89
Nigeria,3,28500,"$448,120,428,859 ",9.08,8.68
Norway,9,27100,"$403,336,363,636 ",60.47,8.47
Oman,1,2700,"$76,983,094,928 ",21.47,55.98
Peru,2,2500,"$226,848,050,820 ",-9.19,-75.02
Philippines,14,41400,"$376,795,508,680 ",12.88,121.77
Poland,5,18300,"$592,164,400,688 ",51.92,19.15
Portugal,1,4700,"$237,686,075,635 ",39.4,-8.22
Qatar,2,3000,"$183,466,208,791 ",25.35,51.18
Romania,3,4800,"$250,077,444,017 ",45.94,24.97
Russia,79,351000,"$1,699,876,578,871 ",61.52,105.32
Singapore,46,138000,"$372,062,527,489 ",1.35,103.82
Slovakia,2,3100,"$105,422,304,976 ",48.67,19.7
South Africa,5,25600,"$351,431,649,241 ",-30.56,22.94
South Korea,29,81400,"$2,029,000,000,000 ",35.91,127.77
Spain,25,133700,"$1,394,116,310,769 ",40.46,-3.75
Sweden,26,90900,"$530,832,908,738 ",60.13,18.64
Switzerland,78,409900,"$703,082,435,360 ",46.82,8.23
Tanzania,1,1500,"$63,177,068,175 ",-6.37,34.89
Thailand,28,100700,"$543,649,976,166 ",15.87,100.99
Turkey,25,55700,"$754,411,708,203 ",38.96,35.24
Ukraine,6,12600,"$153,781,069,118 ",48.38,31.17
United Arab Emirates,17,99400,"$421,142,267,938 ",23.42,53.85
United Kingdom,82,370700,"$2,827,113,184,696 ",55.38,-3.44
United States,754,4575100,"$21,427,700,000,000 ",37.09,-95.71
Uruguay,1,1800,"$56,045,912,952 ",-32.52,-55.77
Uzbekistan,1,14400,"$57,921,286,440 ",41.38,64.59
Vietnam,6,12600,"$261,921,244,843 ",14.06,108.28
