country,count,highlight,year
Australia,43,Australia,2023
Australia,47,Australia,2025
Canada,42,Other,2023
Canada,76,Other,2025
China,523,Other,2023
China,450,Other,2025
France,35,Other,2023
France,52,Other,2025
Germany,102,Other,2023
Germany,171,Other,2025
India,157,Other,2023
India,205,Other,2025
Malaysia,11,Malaysia,2023
Malaysia,19,Malaysia,2025
Russia,79,Other,2023
Russia,140,Other,2025
Singapore,46,Other,2023
Singapore,49,Other,2025
Switzerland,78,Other,2023
Switzerland,42,Other,2025
United Kingdom,82,Other,2023
United Kingdom,55,Other,2025
United States,754,Other,2023
United States,902,Other,2025
