name,wealth,industry,country
Robert Kuok,12.1,Diversified,Malaysia
Quek Leng Chan,9.9,Diversified,Malaysia
Koon Poh Keong,4.2,Manufacturing,Malaysia
Lee Thiam Wah,3.7,Food & Beverage,Malaysia
Jeffrey Cheah,3.5,Real Estate,Malaysia
Lee Yeow Chor,3.1,Real Estate,Malaysia
Lee Yeow Seng,2.3,Real Estate,Malaysia
Syed Mokhtar AlBukhary,2.2,Construction & Engineering,Malaysia
Lim Kok Thay,1.8,Gambling & Casinos,Malaysia
Kie Chie Wong,1.7,Metals & Mining,Malaysia
Gina Rinehart,29.3,Metals & Mining,Australia
Harry Triguboff,19.1,Real Estate,Australia
Mike Cannon-Brookes,14.9,Technology,Australia
Scott Farquhar,14.6,Technology,Australia
Andrew Forrest,14.4,Metals & Mining,Australia
Anthony Pratt,8.2,Manufacturing,Australia
Frank Lowy,7.9,Finance & Investments,Australia
Kerry Stokes,7.7,Diversified,Australia
Richard White,7.5,Technology,Australia
Melanie Perkins,5.8,Technology,Australia
